Experiment	STML
1.0026465e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868192e-08	3730000	0.0	675.0380873935377
1.00130644e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867172e-08	3740000	3.0	675.4616828622784
1.001839524e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870396e-08	3750000	9.0	675.8852692101029
1.0017971980000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068680500000001e-08	3760000	-5.0	676.3088464313443
1.000957144e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868208e-08	3770000	4.0	676.7324145203354
1.00106272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068727820000001e-08	3780000	-3.0	677.1559734714091
1.00263588e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068725000000001e-08	3790000	11.0	677.5795232789003
1.001636942e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068692739999998e-08	3800000	-10.0	678.0030639371423
1.0005508140000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687355e-08	3810000	13.0	678.42659544047
1.0025107599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874432e-08	3820000	11.0	678.8501177832188
1.00189951e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872298e-08	3830000	11.0	679.2736309597233
1.0006593660000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875682e-08	3840000	5.0	679.6971349643196
1.002018226e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877088e-08	3850000	-3.0	680.1206297913435
1.0015958860000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874886e-08	3860000	8.0	680.5441154351314
1.0011729020000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877786e-08	3870000	9.0	680.9675918900201
1.0025053e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687794e-08	3880000	13.0	681.3910591503469
1.00296324e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873024e-08	3890000	29.0	681.8145172104491
1.0000261359999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876264e-08	3900000	4.0	682.237966064665
1.00151284e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881508e-08	3910000	12.0	682.6614057073318
1.0037511399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876138e-08	3920000	4.0	683.0848361327894
1.001112562e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068733219999999e-08	3930000	-2.0	683.5082573353765
1.0000295699999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880002e-08	3940000	3.0	683.9316693094319
1.0042252400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687777e-08	3950000	-10.0	684.3550720492957
1.0018496740000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068709359999999e-08	3960000	4.0	684.7784655493084
1.001068724e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068744720000001e-08	3970000	8.0	685.2018498038096
1.0024657200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875142e-08	3980000	20.0	685.6252248071412
1.00258324e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869442e-08	3990000	-4.0	686.0485905536433
1.00094329e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068711319999999e-08	4000000	6.0	686.4719470376587
1.00326446e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068715720000001e-08	4010000	0.0	686.8952942535286
1.0019577e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068673959999999e-08	4020000	12.0	687.3186321955957
1.001322302e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867184e-08	4030000	7.0	687.7419608582021
1.0013953559999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869528e-08	4040000	7.0	688.165280235692
1.00263958e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868674e-08	4050000	14.0	688.5885903224076
1.0022164619999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686498e-08	4060000	9.0	689.0118911126941
1.000558084e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068680480000001e-08	4070000	10.0	689.4351826008949
1.00206298e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068693440000001e-08	4080000	2.0	689.8584647813548
1.00254925e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865406e-08	4090000	6.0	690.281737648419
1.0004211560000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868634e-08	4100000	22.0	690.7050011964326
1.00218238e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686997e-08	4110000	11.0	691.1282554197414
1.0022440599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068674540000001e-08	4120000	14.0	691.5515003126916
1.0007659719999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868804e-08	4130000	18.0	691.9747358696297
1.0015605660000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068730079999999e-08	4140000	19.0	692.397962084903
1.00307618e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869062e-08	4150000	18.0	692.8211789528578
1.0003649919999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869898e-08	4160000	8.0	693.2443864678428
1.0012007420000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068745599999999e-08	4170000	7.0	693.6675846242055
1.0031278399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871018e-08	4180000	1.0	694.0907734162938
1.001236362e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686967e-08	4190000	8.0	694.5139528384574
1.000826156e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687534e-08	4200000	15.0	694.9371228850454
1.0031187e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068742319999999e-08	4210000	10.0	695.3602835504066
1.0018347179999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868406e-08	4220000	-2.0	695.783434828892
9.998211619999999e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.06874432e-08	4230000	6.0	696.206576714851
1.002805602e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876818e-08	4240000	14.0	696.6297092026349
1.0029563800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870964e-08	4250000	2.0	697.052832286594
9.999259580000001e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.068724140000001e-08	4260000	33.0	697.4759459610814
1.0017279e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068763760000001e-08	4270000	7.0	697.8990502204471
1.00363494e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871646e-08	4280000	5.0	698.3221450590446
1.000898052e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687186e-08	4290000	-8.0	698.7452304712253
1.0009657280000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874884e-08	4300000	6.0	699.1683064513436
1.0032288e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687207e-08	4310000	1.0	699.5913729937523
1.001064788e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068726699999999e-08	4320000	10.0	700.014430092805
1.001283744e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874886e-08	4330000	15.0	700.4374777428565
1.00271911e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068720859999999e-08	4340000	17.0	700.8605159382602
1.0025891199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068699420000001e-08	4350000	24.0	701.2835446733723
1.000386156e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872058e-08	4360000	-1.0	701.7065639425476
1.00298898e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068725000000001e-08	4370000	10.0	702.1295737401416
1.0019483599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068687320000001e-08	4380000	-8.0	702.5525740605107
1.0007788980000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687008e-08	4390000	10.0	702.9755648980118
1.0026193399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068704660000001e-08	4400000	14.0	703.3985462470009
1.002223606e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867166e-08	4410000	11.0	703.8215181018355
1.0005734959999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068695299999999e-08	4420000	-1.0	704.2444804568742
1.0026704799999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870682e-08	4430000	23.0	704.667433306474
1.00218567e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866358e-08	4440000	-5.0	705.0903766449939
1.001456128e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068667560000001e-08	4450000	2.0	705.5133104667922
1.00164714e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068686499999999e-08	4460000	14.0	705.9362347662287
1.00293274e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866318e-08	4470000	13.0	706.3591495376628
1.001853544e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068628920000001e-08	4480000	4.0	706.7820547754549
1.000334764e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068669260000001e-08	4490000	4.0	707.2049504739646
1.001935226e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869928e-08	4500000	-3.0	707.6278366275535
1.0030856400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865266e-08	4510000	12.0	708.0507132305821
1.000113832e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866132e-08	4520000	9.0	708.4735802774127
1.000877076e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871658e-08	4530000	8.0	708.8964377624071
1.0040280999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869044e-08	4540000	23.0	709.3192856799272
1.000824816e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866018e-08	4550000	12.0	709.7421240243362
1.000355214e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068732380000001e-08	4560000	-1.0	710.1649527899979
1.0038617e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068698700000001e-08	4570000	11.0	710.5877719712743
1.00040371e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867982e-08	4580000	-1.0	711.0105815625308
1.0009683099999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873934e-08	4590000	0.0	711.4333815581309
1.0035370799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872086e-08	4600000	6.0	711.8561719524397
1.0016893780000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867268e-08	4610000	6.0	712.2789527398226
1.000493644e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870622e-08	4620000	-3.0	712.7017239146446
1.0023321600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872754e-08	4630000	2.0	713.1244854712716
1.00292508e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868562e-08	4640000	19.0	713.5472374040708
1.0010771759999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068692839999999e-08	4650000	8.0	713.9699797074085
1.00207013e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870452e-08	4660000	-6.0	714.3927123756514
1.00210054e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068680079999999e-08	4670000	6.0	714.8154354031677
1.001303118e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867952e-08	4680000	5.0	715.2381487843252
1.00144868e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068697560000001e-08	4690000	-7.0	715.6608525134918
1.002952774e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868262e-08	4700000	19.0	716.0835465850369
1.00155396e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867142e-08	4710000	8.0	716.5062309933287
1.0015519079999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686899e-08	4720000	4.0	716.9289057327381
1.00269756e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068661740000001e-08	4730000	7.0	717.3515707976338
1.00100832e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864838e-08	4740000	25.0	717.7742261823872
1.001340312e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869898e-08	4750000	10.0	718.1968718813681
1.0027991e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867554e-08	4760000	3.0	718.6195078889483
1.001749744e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068642699999999e-08	4770000	20.0	719.0421341994991
1.00072459e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867794e-08	4780000	1.0	719.464750807393
1.0028113800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868078e-08	4790000	-5.0	719.8873577070012
1.001551506e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866914e-08	4800000	15.0	720.309954892698
1.0010191919999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868776e-08	4810000	-2.0	720.7325423588551
1.0021350999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868788e-08	4820000	-1.0	721.1551200998472
1.0021546160000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068667700000001e-08	4830000	1.0	721.5776881100478
1.001106852e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867442e-08	4840000	5.0	722.0002463838312
1.0016602399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869214e-08	4850000	21.0	722.4227949155722
1.00264627e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867298e-08	4860000	-6.0	722.8453336996462
1.00135728e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866856e-08	4870000	8.0	723.2678627304293
1.0018719479999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686771e-08	4880000	0.0	723.6903820022962
1.00219696e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068667000000001e-08	4890000	15.0	724.1128915096248
1.0013016579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068681500000001e-08	4900000	13.0	724.5353912467912
1.0015975040000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068676680000001e-08	4910000	3.0	724.9578812081726
1.0019055500000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068687039999999e-08	4920000	6.0	725.3803613881468
1.001489368e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686839e-08	4930000	-8.0	725.802831781092
1.0019667380000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869102e-08	4940000	1.0	726.2252923813861
1.0018160399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068682220000001e-08	4950000	20.0	726.6477431834088
1.0020318959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867724e-08	4960000	4.0	727.0701841815389
1.00129747e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068692880000001e-08	4970000	-2.0	727.4926153701566
1.00092165e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871106e-08	4980000	3.0	727.9150367436416
1.0031420399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068695160000001e-08	4990000	9.0	728.3374482963742
1.0013961540000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068682920000001e-08	5000000	12.0	728.7598500227355
1.0009396439999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068717439999999e-08	5010000	-12.0	729.1822419171071
1.00280852e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870098e-08	5020000	16.0	729.6046239738711
1.0021003060000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068677660000001e-08	5030000	4.0	730.0269961874088
1.001357736e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068693e-08	5040000	11.0	730.4493585521033
1.002367326e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06870226e-08	5050000	-1.0	730.8717110623376
1.001343186e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867894e-08	5060000	11.0	731.2940537124954
1.00165322e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068689179999999e-08	5070000	17.0	731.7163864969597
1.0024293e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068684640000001e-08	5080000	11.0	732.1387094101151
1.0015155499999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867908e-08	5090000	10.0	732.5610224463468
1.00153954e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068686599999999e-08	5100000	-3.0	732.9833256000396
1.0020746e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868564e-08	5110000	-7.0	733.4056188655787
1.0027700199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866318e-08	5120000	13.0	733.8279022373503
1.0007659740000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866984e-08	5130000	6.0	734.2501757097409
1.002000222e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686788e-08	5140000	5.0	734.6724392771365
1.0026643199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068658740000001e-08	5150000	-5.0	735.0946929339249
1.0009971019999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864754e-08	5160000	4.0	735.5169366744936
1.0023599200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068654199999998e-08	5170000	5.0	735.9391704932306
1.0018460119999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068656219999999e-08	5180000	6.0	736.3613943845241
1.001271444e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865932e-08	5190000	8.0	736.7836083427634
1.0014101040000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686707e-08	5200000	0.0	737.2058123623375
1.0021723200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866858e-08	5210000	14.0	737.6280064376358
1.00104827e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867298e-08	5220000	9.0	738.0501905630492
1.0021011640000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068687459999999e-08	5230000	10.0	738.4723647329669
1.00207642e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867496e-08	5240000	11.0	738.8945289417811
1.0013047e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068679380000001e-08	5250000	6.0	739.3166831838823
1.0017932199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868252e-08	5260000	9.0	739.7388274536631
1.002065636e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068676519999999e-08	5270000	10.0	740.1609617455148
1.00167156e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686741e-08	5280000	11.0	740.5830860538309
1.0015840199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068681200000001e-08	5290000	22.0	741.0052003730043
1.0019228259999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867778e-08	5300000	12.0	741.4273046974278
1.0016465319999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868532e-08	5310000	27.0	741.8493990214959
1.00193176e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868676e-08	5320000	-9.0	742.271483339602
1.0022545400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686579e-08	5330000	15.0	742.6935576461425
1.00171296e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068649400000001e-08	5340000	17.0	743.1156219355111
1.0013426700000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868336e-08	5350000	9.0	743.5376762021044
1.0024424e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866812e-08	5360000	-5.0	743.9597204403178
1.0012860080000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068655920000001e-08	5370000	12.0	744.3817546445479
1.0015849819999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068670860000001e-08	5380000	0.0	744.8037788091914
1.0020256540000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686707e-08	5390000	10.0	745.2257929286459
1.0016879240000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686616e-08	5400000	5.0	745.647796997309
1.002015274e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068676800000001e-08	5410000	17.0	746.0697910095789
1.00235558e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866104e-08	5420000	9.0	746.4917749598543
1.0009419819999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686664e-08	5430000	-3.0	746.9137488425338
1.00206886e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068673420000001e-08	5440000	18.0	747.3357126520175
1.0023811800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068655899999999e-08	5450000	-8.0	747.7576663827042
1.001112372e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866374e-08	5460000	10.0	748.1796100289951
1.0019817e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866604e-08	5470000	14.0	748.6015435852908
1.00191462e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865834e-08	5480000	10.0	749.0234670459924
1.00140982e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068667140000001e-08	5490000	11.0	749.4453804055009
1.002441308e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686687e-08	5500000	10.0	749.8672836582192
1.0024922599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06863204e-08	5510000	5.0	750.2891767985494
1.00128346e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864198e-08	5520000	0.0	750.7110598208944
1.0013840660000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068648400000001e-08	5530000	9.0	751.132932719657
1.00183208e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068658319999999e-08	5540000	15.0	751.5547954892418
1.001022272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867296e-08	5550000	5.0	751.9766481240528
1.00192556e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068685760000001e-08	5560000	5.0	752.3984906184937
1.0025455e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068671720000001e-08	5570000	4.0	752.8203229669703
1.0020818199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068655500000002e-08	5580000	5.0	753.2421451638883
1.000483918e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867324e-08	5590000	-4.0	753.663957203653
1.0021506000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686798e-08	5600000	5.0	754.0857590806709
1.002701994e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068662300000001e-08	5610000	-3.0	754.5075507893496
1.000633768e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867566e-08	5620000	10.0	754.9293323240947
1.00241926e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068680199999999e-08	5630000	6.0	755.3511036793152
1.00160848e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867524e-08	5640000	4.0	755.7728648494185
1.0013524579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068691999999999e-08	5650000	8.0	756.1946158288135
1.0030059800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068668999999999e-08	5660000	7.0	756.6163566119088
1.0011513660000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068666160000001e-08	5670000	25.0	757.0380871931142
1.0010435019999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868448e-08	5680000	1.0	757.4598075668393
1.00231222e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868064e-08	5690000	6.0	757.8815177274942
1.0012497680000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068672979999999e-08	5700000	14.0	758.3032176694896
1.001729228e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868648e-08	5710000	15.0	758.7249073872371
1.00194762e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867896e-08	5720000	10.0	759.1465868751476
1.0028760800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866972e-08	5730000	17.0	759.5682561276341
1.0024733599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068639579999999e-08	5740000	14.0	759.989915139108
1.0008763439999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686353e-08	5750000	8.0	760.4115639039825
1.00201628e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864936e-08	5760000	4.0	760.8332024166716
1.0024412000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068639000000001e-08	5770000	6.0	761.2548306715879
1.0008214260000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068630919999999e-08	5780000	6.0	761.6764486631471
1.0019738740000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068649640000001e-08	5790000	17.0	762.0980563857623
1.0027739599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862894e-08	5800000	-3.0	762.5196538338497
1.00202312e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068601359999999e-08	5810000	0.0	762.9412410018244
1.0006296560000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06863688e-08	5820000	18.0	763.3628178841024
1.00243816e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686329e-08	5830000	0.0	763.7843844751003
1.00218862e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686093e-08	5840000	15.0	764.2059407692348
1.0006597020000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068628460000001e-08	5850000	-7.0	764.6274867609234
1.002108426e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068658220000001e-08	5860000	13.0	765.0490224445836
1.0028294800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068620360000001e-08	5870000	3.0	765.470547814634
1.000391226e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861812e-08	5880000	16.0	765.8920628654923
1.001358768e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068669559999999e-08	5890000	11.0	766.3135675915789
1.00322878e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864808e-08	5900000	4.0	766.735061987313
1.0012804160000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686174e-08	5910000	-6.0	767.1565460471138
1.0009741420000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068652199999999e-08	5920000	10.0	767.5780197654021
1.00280272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865352e-08	5930000	32.0	767.9994831365992
1.0008828699999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864056e-08	5940000	2.0	768.4209361551261
1.0013845979999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068671839999999e-08	5950000	24.0	768.8423788154042
1.0021500639999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867482e-08	5960000	-2.0	769.2638111118566
1.002043644e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068659460000001e-08	5970000	15.0	769.6852330389056
1.0005019799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867682e-08	5980000	-1.0	770.1066445909736
1.0022566759999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868918e-08	5990000	5.0	770.5280457624852
1.00261768e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068671540000001e-08	6000000	6.0	770.9494365478638
1.0012444760000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068662140000001e-08	6010000	9.0	771.3708169415346
1.0017684599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867766e-08	6020000	14.0	771.7921869379211
1.0013550019999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868208e-08	6030000	7.0	772.2135465314499
1.001619786e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868576e-08	6040000	9.0	772.6348957165463
