Experiment	STML
Scan>Scanfield	36.713E-9;-34.5176E-9;50E-9;50E-9;0E+0	
Scan>series name	img_	
Scan>channels	Current (A);Z (m);LI Demod 3 X (A);Counter 1 (Hz)	
Scan>pixels/line	208	
Scan>lines	217	
Scan>speed forw. (m/s)	50.0801E-9	
Scan>speed backw. (m/s)	50.0801E-9	
Temperature 1>Temperature 1 (K)	4.16047E+0	
Temperature 2>Temperature 2 (K)	4.5547E+0	
Z Spectroscopy>Initial Z-offset (m)	-100E-12	
Z Spectroscopy>Sweep distance (m)	-320E-12	
Z Spectroscopy>Num Pixel	50	
Z Spectroscopy>Z Avg time (s)	50E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	1E-3	
Z Spectroscopy>Integration time (s)	2E+0	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	Inf	
Z Spectroscopy>backward sweep	FALSE	
Z Spectroscopy>Number of sweeps	1	
Z Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 3 X (A);LI Demod 3 Y (A);Counter 1 (Hz)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	FALSE	
Z Spectroscopy>Reset Z	TRUE	
Z-Controller>Z (m)	-70.6831E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	5E-12	
Z-Controller>I gain	50.0001E-9	
Z-Controller>Time const (s)	99.9998E-6	
Z-Controller>TipLift (m)	1E-9	
Z-Controller>Switch off delay (s)	50E-3	
Spectrometer Exposure Time (ms)	10000
Spectrometer Selected Grating Center Wavelength (nm)	800
Spectrometer Selected Grating Density	150
X (m)	4.6357826022358495e-08
Y (m)	-4.0125183176087376e-08
Z (m)	-7.068812379884548e-08
Bias [V]	3.0
Current [A]	1.0017639495707442e-10
Exposure Time [ms]	10000.0
Selected Grating	150 g/mm
Center Wavelength [nm]	800.0
Last aquired sxm file	img_0013.sxm
SPE Filename	stml_00002.spe
DAT Filename	stml_0000200001.dat

[DATA]
Current (A)	Bias (V)	X (m)	Y (m)	Z (m)	Time	Intensity	Wavelength
1.001231904e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068851719999999e-08	0	-5.0	516.4504727718593
1.002368232e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885332e-08	10000	-23.0	516.877072170292
1.00084277e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884562e-08	20000	-3.0	517.3036645838644
1.00158792e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068874339999999e-08	30000	3.0	517.7302500067993
1.00171266e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06887276e-08	40000	-1.0	518.1568284333201
1.0015921939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06888286e-08	50000	-18.0	518.5833998576502
1.0009502439999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06890404e-08	60000	-3.0	519.0099642740136
1.0026325e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688935e-08	70000	-1.0	519.4365216766339
1.001030378e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068886140000001e-08	80000	-3.0	519.863072059736
1.00172608e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06890176e-08	90000	-6.0	520.2896154175434
1.00197604e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068909e-08	100000	-8.0	520.7161517442819
1.001687922e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06889536e-08	110000	-4.0	521.1426810341753
1.0019849560000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06889792e-08	120000	-1.0	521.5692032814501
1.001961676e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06889326e-08	130000	-11.0	521.9957184803303
1.0018585799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068893120000001e-08	140000	-4.0	522.4222266250418
1.00286284e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06887462e-08	150000	-1.0	522.8487277098111
1.0014026679999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068857580000001e-08	160000	-17.0	523.2752217288635
1.0012126639999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068875620000001e-08	170000	0.0	523.7017086764255
1.0034979199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885132e-08	180000	0.0	524.1281885467234
1.0018614000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068811400000001e-08	190000	-13.0	524.5546613339847
1.0003834780000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884848e-08	200000	-18.0	524.9811270324352
1.00369458e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885034e-08	210000	-8.0	525.4075856363028
1.00239044e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877302e-08	220000	4.0	525.8340371398148
1.000373116e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068798460000001e-08	230000	8.0	526.2604815371989
1.0026510200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882728e-08	240000	-1.0	526.6869188226823
1.0031440800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875268e-08	250000	1.0	527.113348990494
9.99918302e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.06876634e-08	260000	-5.0	527.5397720348618
1.002046382e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688269e-08	270000	0.0	527.9661879500142
1.0030717999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876606e-08	280000	-5.0	528.3925967301802
1.000278366e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876806e-08	290000	-4.0	528.818998369589
1.001533642e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882616e-08	300000	-1.0	529.2453928624697
1.0032009000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879276e-08	310000	7.0	529.6717802030512
1.0006321179999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878294e-08	320000	-7.0	530.098160385564
1.000236302e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885474e-08	330000	-7.0	530.5245334042374
1.00337706e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884194e-08	340000	-3.0	530.9508992533026
1.00193504e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879788e-08	350000	-11.0	531.3772579269889
9.996184460000001e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.06884606e-08	360000	-15.0	531.803609419527
1.0028219600000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06887476e-08	370000	-17.0	532.2299537251489
1.00216368e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883226e-08	380000	-4.0	532.6562908380843
1.000146974e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885944e-08	390000	-8.0	533.0826207525656
